[1, [8, 7, 21, 20, 18], 160]
[11, [23, 18, 15, 5, 8], 160]
[9, [21, 17, 2, 10, 23], 120]
[22, [12, 19, 4, 7, 21], 80]
[18, [4, 2, 13, 6, 7], 120]
[14, [2, 19, 13, 7, 12], 160]
[18, [8, 10, 5, 11, 21], 80]
[15, [18, 13, 4, 17, 16], 40]
[16, [6, 20, 15, 12, 2], 160]
[22, [5, 2, 18, 3, 20], 160]
[16, [10, 4, 12, 14, 18], 40]
[2, [13, 8, 14, 6, 23], 40]
[19, [12, 14, 17, 8, 22], 80]
[20, [4, 12, 19, 10, 6], 80]
[3, [8, 16, 1, 6, 15], 120]
[19, [9, 7, 16, 12, 2], 120]
[8, [21, 3, 5, 22, 13], 120]
[19, [21, 6, 11, 4, 3], 80]
[19, [7, 10, 23, 8, 22], 160]
[3, [16, 6, 15, 17, 9], 160]
[16, [12, 17, 11, 4, 5], 40]
[13, [10, 5, 20, 19, 14], 80]
[18, [3, 4, 13, 1, 9], 80]
[3, [7, 13, 9, 10, 4], 80]
[13, [15, 4, 10, 7, 8], 120]
[2, [23, 21, 6, 1, 11], 40]
[1, [23, 7, 22, 10, 16], 80]
[1, [20, 9, 18, 17, 23], 120]
[12, [13, 5, 7, 18, 19], 160]
[2, [23, 16, 14, 17, 20], 40]
[16, [12, 20, 4, 6, 10], 40]
[22, [3, 9, 8, 20, 19], 160]
[2, [23, 4, 11, 10, 9], 120]
[23, [3, 20, 21, 22, 11], 160]
[18, [9, 5, 4, 7, 14], 160]
[20, [5, 3, 13, 4, 19], 80]
[5, [2, 22, 8, 6, 7], 40]
[5, [22, 19, 8, 2, 11], 160]
[6, [23, 9, 13, 14, 1], 40]
[20, [5, 19, 3, 10, 23], 40]
[8, [11, 17, 16, 3, 1], 160]
[13, [23, 4, 17, 16, 11], 80]
[10, [6, 13, 22, 4, 19], 80]
[22, [2, 19, 17, 21, 9], 40]
[18, [12, 2, 9, 7, 17], 160]
[22, [20, 6, 21, 8, 11], 80]
[18, [21, 12, 19, 3, 10], 40]
[6, [17, 22, 20, 7, 16], 80]
[4, [2, 13, 5, 8, 18], 40]
[18, [20, 9, 11, 12, 7], 120]
[11, [19, 15, 10, 14, 12], 80]
[10, [13, 17, 22, 7, 8], 80]
[11, [18, 6, 23, 22, 2], 120]
[18, [3, 10, 15, 16, 12], 40]
[17, [3, 8, 7, 15, 10], 80]
[17, [12, 18, 22, 20, 6], 40]
[13, [1, 12, 7, 15, 23], 80]
[22, [17, 3, 21, 19, 14], 160]
[17, [22, 13, 2, 15, 6], 40]
[1, [5, 9, 13, 11, 16], 160]
[18, [3, 6, 21, 12, 11], 120]
[24, [17, 1, 4, 3, 13], 120]
[2, [23, 6, 1, 17, 4], 120]
[5, [7, 9, 19, 2, 1], 80]
[13, [12, 8, 6, 14, 21], 40]
[21, [4, 18, 23, 7, 10], 80]
[11, [1, 22, 3, 2, 6], 40]
[8, [23, 4, 2, 16, 11], 160]
[8, [1, 4, 6, 20, 14], 160]
[24, [13, 8, 4, 18, 19], 160]
[13, [9, 10, 5, 6, 1], 120]
[18, [2, 15, 21, 20, 23], 40]
[10, [23, 17, 7, 4, 6], 120]
[10, [1, 21, 16, 23, 12], 40]
[15, [14, 21, 19, 1, 17], 80]
[5, [21, 15, 9, 2, 1], 40]
[11, [1, 22, 18, 6, 13], 120]
[2, [7, 1, 18, 10, 17], 40]
[22, [10, 9, 5, 2, 12], 160]
[20, [16, 21, 17, 4, 2], 120]
[20, [8, 16, 3, 7, 17], 160]
[4, [6, 8, 15, 20, 1], 120]
[22, [14, 11, 20, 8, 4], 120]
[23, [13, 12, 19, 2, 9], 120]
[1, [8, 15, 18, 11, 5], 80]
[12, [8, 13, 17, 20, 15], 160]
[13, [12, 9, 6, 19, 15], 40]
[21, [3, 6, 10, 12, 23], 80]
[13, [10, 1, 21, 4, 5], 120]
[16, [5, 4, 8, 7, 10], 160]
[23, [11, 20, 6, 17, 22], 80]
[19, [4, 23, 13, 21, 16], 120]
[11, [13, 22, 5, 8, 23], 80]
[22, [5, 23, 1, 15, 21], 40]
[18, [20, 13, 3, 9, 1], 40]
[21, [7, 3, 18, 23, 6], 120]
[1, [15, 19, 14, 7, 4], 80]
[12, [5, 11, 15, 19, 14], 40]
[21, [3, 15, 5, 17, 13], 40]
[24, [22, 14, 20, 9, 5], 80]
[18, [15, 12, 23, 6, 10], 40]
[11, [6, 9, 3, 19, 13], 40]
[17, [20, 3, 8, 10, 5], 80]
[1, [22, 13, 7, 15, 20], 40]
[1, [11, 21, 7, 22, 17], 80]
[10, [8, 6, 20, 4, 16], 40]
[18, [17, 14, 8, 3, 2], 80]
[19, [21, 3, 12, 4, 14], 120]
[21, [16, 12, 19, 3, 11], 80]
[4, [10, 9, 21, 20, 5], 120]
[10, [14, 5, 17, 18, 13], 160]
[13, [21, 8, 16, 5, 22], 80]
[23, [11, 17, 20, 10, 22], 120]
[18, [9, 19, 22, 3, 7], 80]
[8, [3, 16, 23, 5, 14], 120]
[17, [18, 6, 16, 19, 1], 40]
[9, [21, 12, 6, 16, 15], 160]
[18, [21, 22, 10, 7, 12], 160]
[9, [7, 18, 5, 11, 13], 80]
[4, [5, 18, 7, 20, 9], 160]
[13, [17, 8, 1, 20, 5], 160]
[13, [2, 10, 20, 9, 4], 80]
[22, [20, 12, 10, 2, 15], 120]
[8, [14, 17, 23, 13, 20], 160]
[20, [3, 15, 12, 11, 8], 120]
[21, [5, 13, 17, 18, 7], 40]
[9, [21, 18, 2, 11, 10], 40]
[24, [16, 1, 4, 7, 19], 80]
[19, [6, 16, 8, 15, 23], 40]
[10, [23, 13, 6, 5, 16], 40]
[24, [23, 4, 2, 15, 20], 160]
[22, [4, 6, 3, 1, 18], 80]
[15, [21, 11, 13, 6, 19], 120]
[13, [23, 21, 5, 12, 1], 120]
[14, [15, 8, 12, 10, 2], 40]
[6, [2, 16, 4, 21, 10], 160]
[19, [13, 15, 21, 7, 14], 40]
[24, [23, 9, 16, 20, 2], 160]
[18, [5, 20, 2, 6, 19], 160]
[16, [8, 3, 1, 7, 6], 40]
[2, [6, 14, 9, 7, 3], 80]
[15, [9, 12, 20, 23, 13], 120]
[7, [14, 12, 19, 9, 18], 40]
[9, [4, 11, 22, 8, 12], 80]
[2, [23, 17, 13, 7, 15], 40]
[19, [23, 5, 2, 21, 17], 40]
[8, [4, 7, 3, 6, 18], 40]
[3, [15, 8, 12, 6, 14], 80]
[5, [15, 11, 21, 18, 4], 40]
[1, [3, 10, 18, 2, 20], 160]
[18, [2, 6, 22, 3, 19], 80]
[23, [14, 19, 1, 3, 20], 120]
[11, [5, 17, 10, 22, 3], 80]
[5, [1, 23, 4, 6, 12], 160]
[11, [16, 20, 19, 21, 9], 40]
[12, [21, 7, 4, 14, 1], 40]
[18, [2, 19, 23, 20, 8], 120]
[9, [23, 18, 22, 2, 6], 40]
[10, [21, 19, 23, 4, 20], 80]
[2, [20, 11, 4, 16, 8], 120]
[12, [21, 13, 20, 19, 5], 40]
[24, [18, 12, 11, 16, 2], 160]
[9, [8, 21, 2, 4, 6], 160]
[15, [13, 16, 14, 19, 7], 80]
[8, [5, 23, 11, 18, 13], 120]
[14, [5, 21, 9, 13, 11], 40]
[2, [1, 20, 7, 8, 11], 160]
[2, [20, 3, 19, 5, 7], 80]
[5, [10, 22, 23, 4, 14], 160]
[18, [12, 15, 3, 16, 20], 80]
[15, [4, 23, 19, 13, 20], 160]
[3, [8, 5, 10, 22, 6], 80]
[10, [6, 16, 21, 12, 18], 80]
[16, [20, 4, 22, 5, 15], 160]
[22, [5, 4, 21, 6, 16], 160]
[4, [13, 22, 15, 19, 18], 40]
[4, [12, 21, 19, 5, 3], 80]
[24, [7, 22, 9, 19, 14], 160]
[11, [14, 8, 12, 9, 23], 40]
[22, [2, 6, 23, 12, 19], 40]
[7, [6, 10, 1, 14, 20], 40]
[19, [16, 20, 3, 10, 1], 120]
[6, [12, 1, 5, 11, 3], 120]
[19, [2, 7, 15, 5, 14], 80]
[13, [21, 16, 1, 2, 8], 120]
[9, [3, 4, 1, 19, 7], 40]
[3, [9, 16, 15, 10, 20], 40]
[12, [5, 15, 10, 21, 8], 160]
[2, [4, 16, 14, 10, 3], 80]
[6, [11, 21, 16, 10, 23], 40]
[10, [17, 23, 20, 13, 5], 160]
[18, [17, 16, 19, 4, 3], 80]
[19, [9, 8, 23, 11, 4], 80]
[9, [21, 20, 23, 13, 3], 80]
[4, [6, 17, 7, 13, 8], 40]
[18, [23, 17, 15, 12, 7], 120]
[5, [12, 3, 4, 21, 10], 120]
[4, [21, 20, 16, 5, 3], 160]
[7, [1, 13, 10, 15, 23], 40]
[22, [12, 7, 6, 4, 5], 40]
[8, [4, 12, 10, 17, 2], 40]
[14, [16, 10, 3, 7, 21], 120]
[23, [20, 16, 13, 9, 7], 120]
[1, [13, 17, 11, 18, 19], 80]
[7, [23, 4, 2, 10, 3], 40]
[12, [8, 14, 7, 6, 21], 40]
[16, [18, 19, 11, 5, 2], 40]
[4, [9, 8, 7, 16, 12], 120]
[24, [9, 12, 6, 23, 8], 120]
[5, [6, 21, 8, 19, 20], 40]
[11, [6, 17, 12, 16, 22], 40]
[11, [6, 22, 19, 3, 17], 80]
[5, [1, 15, 22, 23, 4], 120]
[22, [1, 19, 2, 6, 8], 40]
[23, [20, 3, 2, 13, 19], 80]
[19, [23, 14, 8, 1, 10], 40]
[18, [21, 23, 9, 4, 12], 120]
[18, [20, 6, 2, 19, 3], 80]
[13, [1, 20, 6, 9, 17], 80]
[3, [12, 11, 2, 16, 4], 160]
[5, [10, 21, 16, 23, 18], 160]
[3, [18, 13, 20, 11, 2], 40]
[15, [19, 23, 10, 9, 12], 40]
[1, [22, 16, 21, 20, 3], 120]
[19, [7, 6, 2, 13, 3], 120]
[18, [17, 23, 15, 5, 7], 120]
[10, [1, 18, 20, 4, 11], 160]
[10, [20, 8, 11, 18, 13], 40]
[18, [11, 10, 8, 12, 2], 120]
[12, [16, 2, 9, 18, 11], 40]
[14, [4, 19, 12, 21, 11], 120]
[18, [3, 15, 13, 9, 23], 120]
