[17, [10, 16, 3, 9, 11], 80]
[19, [10, 14, 5, 18, 20], 80]
[6, [17, 21, 9, 7, 1], 80]
[3, [15, 9, 16, 22, 4], 80]
[3, [13, 21, 8, 7, 22], 80]
[22, [6, 17, 1, 12, 2], 80]
[7, [4, 15, 23, 16, 5], 80]
[13, [10, 6, 22, 15, 7], 80]
[9, [1, 16, 22, 19, 7], 80]
[24, [18, 16, 19, 12, 6], 80]
[24, [22, 1, 21, 20, 19], 80]
[5, [6, 12, 7, 13, 11], 80]
[16, [10, 6, 13, 19, 17], 80]
[14, [21, 15, 17, 9, 19], 80]
[23, [8, 20, 17, 18, 4], 80]
[7, [18, 6, 8, 20, 11], 80]
[16, [4, 14, 6, 18, 22], 80]
[18, [17, 11, 7, 19, 1], 80]
[5, [10, 4, 8, 1, 7], 80]
[10, [4, 17, 16, 5, 21], 80]
[21, [10, 13, 20, 5, 6], 80]
[10, [2, 16, 13, 3, 19], 80]
[13, [3, 5, 12, 16, 2], 80]
[8, [9, 11, 1, 16, 21], 80]
[24, [1, 7, 14, 15, 13], 80]
[4, [19, 16, 6, 9, 14], 80]
[12, [4, 16, 14, 7, 9], 80]
[4, [18, 17, 14, 23, 19], 80]
[5, [17, 2, 16, 13, 4], 80]
[10, [22, 15, 18, 9, 8], 80]
[14, [3, 12, 22, 8, 17], 80]
[8, [19, 7, 1, 17, 9], 80]
[2, [6, 22, 9, 7, 18], 80]
[24, [22, 2, 21, 12, 13], 80]
[17, [5, 20, 7, 18, 23], 80]
[22, [3, 14, 7, 16, 1], 80]
[17, [8, 3, 13, 10, 23], 80]
[20, [22, 8, 21, 11, 5], 80]
[9, [11, 2, 18, 1, 8], 80]
[12, [2, 20, 4, 13, 7], 80]
[16, [13, 5, 7, 15, 19], 80]
[23, [8, 21, 6, 4, 2], 80]
[19, [8, 10, 23, 22, 13], 80]
[24, [22, 13, 16, 19, 4], 80]
[14, [17, 4, 10, 15, 8], 80]
[15, [19, 4, 3, 10, 11], 80]
[21, [13, 11, 17, 12, 1], 80]
[15, [11, 5, 17, 10, 22], 80]
[6, [1, 11, 3, 12, 13], 80]
[18, [8, 7, 11, 20, 10], 80]
[15, [9, 10, 19, 11, 20], 80]
[19, [1, 14, 17, 12, 20], 80]
[16, [20, 10, 3, 17, 6], 80]
[14, [22, 5, 17, 21, 15], 80]
[12, [11, 10, 23, 9, 15], 80]
[7, [17, 2, 19, 6, 14], 80]
[7, [20, 2, 5, 10, 14], 80]
[7, [3, 19, 1, 21, 20], 80]
[4, [21, 14, 10, 3, 6], 80]
[4, [2, 1, 7, 16, 13], 80]
[19, [3, 7, 2, 10, 4], 80]
[9, [8, 16, 23, 4, 7], 80]
[24, [21, 8, 11, 20, 12], 80]
[1, [18, 23, 10, 14, 12], 80]
[19, [17, 6, 11, 18, 14], 80]
[22, [3, 18, 15, 14, 9], 80]
[10, [19, 8, 6, 23, 11], 80]
[13, [1, 7, 23, 5, 17], 80]
[3, [1, 20, 21, 5, 12], 80]
[12, [6, 2, 17, 21, 18], 80]
[3, [2, 4, 5, 1, 21], 80]
[6, [18, 3, 7, 4, 20], 80]
[3, [22, 10, 18, 6, 1], 80]
[18, [10, 7, 17, 14, 20], 80]
[10, [16, 18, 5, 19, 8], 80]
[4, [5, 15, 8, 6, 23], 80]
[18, [19, 22, 8, 2, 13], 80]
[23, [5, 11, 18, 7, 12], 80]
[8, [1, 22, 2, 21, 4], 80]
[17, [21, 22, 6, 5, 18], 80]
[14, [21, 2, 13, 17, 20], 80]
[5, [1, 15, 19, 18, 7], 80]
[2, [13, 4, 20, 3, 23], 80]
[23, [8, 9, 2, 15, 12], 80]
[14, [12, 4, 19, 16, 18], 80]
[24, [14, 22, 23, 15, 2], 80]
[18, [1, 5, 9, 7, 15], 80]
[17, [16, 7, 4, 15, 12], 80]
[9, [18, 3, 14, 10, 17], 80]
[17, [19, 16, 6, 7, 20], 80]
[3, [16, 23, 20, 8, 14], 80]
[16, [2, 6, 20, 3, 12], 80]
[9, [21, 15, 12, 6, 10], 80]
[22, [8, 4, 10, 3, 2], 80]
[5, [6, 12, 18, 14, 21], 80]
[6, [20, 17, 2, 13, 11], 80]
[8, [18, 7, 13, 14, 19], 80]
