[9, [17, 6, 5, 15, 22], 120]
[18, [3, 7, 17, 8, 11], 120]
[21, [10, 20, 3, 6, 8], 80]
[9, [6, 21, 17, 19, 16], 160]
[12, [23, 19, 20, 9, 7], 120]
[11, [1, 8, 3, 4, 23], 40]
[18, [6, 2, 14, 9, 15], 120]
[19, [20, 4, 10, 15, 14], 40]
[7, [6, 19, 22, 11, 20], 40]
[13, [11, 16, 1, 8, 9], 120]
[23, [16, 12, 18, 2, 14], 120]
[11, [23, 16, 14, 2, 5], 80]
[17, [10, 18, 3, 14, 4], 120]
[17, [7, 4, 22, 10, 6], 120]
[19, [20, 10, 5, 21, 2], 80]
[21, [11, 18, 4, 20, 5], 80]
[3, [1, 12, 19, 8, 4], 160]
[16, [1, 21, 6, 13, 8], 120]
[22, [8, 1, 17, 18, 14], 160]
[5, [1, 2, 14, 12, 18], 160]
[5, [1, 20, 19, 9, 22], 80]
[20, [2, 4, 5, 15, 7], 160]
[20, [5, 2, 19, 16, 7], 80]
[9, [11, 21, 4, 17, 13], 120]
[21, [22, 19, 17, 6, 18], 80]
[1, [18, 7, 16, 22, 2], 160]
[12, [9, 22, 21, 15, 23], 80]
[16, [10, 3, 17, 12, 14], 160]
[7, [10, 4, 6, 13, 23], 120]
[21, [5, 9, 19, 7, 3], 160]
[23, [13, 3, 12, 15, 17], 80]
[9, [19, 2, 22, 3, 12], 80]
[24, [9, 3, 20, 11, 17], 160]
[16, [1, 11, 3, 13, 12], 160]
[6, [1, 5, 20, 2, 3], 160]
[4, [18, 10, 11, 3, 12], 120]
[4, [6, 18, 5, 16, 15], 160]
[4, [9, 8, 15, 7, 1], 40]
[11, [7, 12, 19, 10, 14], 120]
[20, [14, 5, 15, 8, 17], 40]
[3, [9, 10, 5, 8, 19], 80]
[18, [11, 14, 4, 19, 2], 160]
[6, [11, 7, 5, 22, 18], 80]
[10, [6, 23, 5, 8, 17], 40]
[5, [2, 7, 6, 15, 22], 120]
[23, [21, 1, 6, 17, 16], 80]
