[9, [10, 4, 8, 2, 7], 40]
[10, [2, 7, 8, 6, 3], 160]
[2, [10, 6, 5, 4, 1], 160]
[1, [5, 2, 8, 4, 10], 160]
[10, [9, 5, 8, 4, 1], 120]
[4, [3, 9, 6, 1, 8], 160]
[3, [6, 10, 9, 4, 2], 120]
[9, [1, 2, 6, 5, 4], 80]
[10, [5, 6, 1, 4, 7], 120]
[11, [9, 5, 10, 1, 7], 160]
[11, [9, 7, 4, 6, 10], 120]
[7, [8, 9, 1, 2, 10], 80]
[10, [7, 6, 1, 8, 4], 160]
[2, [10, 6, 9, 4, 3], 160]
[3, [6, 4, 10, 9, 2], 120]
[4, [9, 5, 8, 2, 6], 120]
[2, [3, 9, 4, 6, 8], 80]
[6, [10, 3, 1, 2, 7], 120]
[9, [2, 7, 3, 5, 10], 40]
[5, [2, 9, 3, 10, 8], 120]
[10, [6, 7, 4, 1, 2], 160]
[5, [2, 4, 9, 7, 10], 120]
[7, [2, 9, 6, 8, 10], 120]
[10, [1, 5, 4, 2, 7], 160]
[3, [7, 8, 5, 10, 9], 80]
[6, [4, 10, 2, 3, 8], 40]
[1, [2, 10, 5, 3, 6], 160]
[3, [4, 8, 6, 2, 9], 120]
[10, [1, 2, 6, 3, 7], 40]
[11, [9, 6, 5, 7, 8], 40]
[10, [6, 2, 1, 5, 7], 80]
[2, [7, 8, 6, 1, 10], 160]
[2, [6, 8, 1, 5, 10], 160]
[1, [3, 4, 5, 10, 7], 40]
[6, [7, 3, 1, 5, 8], 80]
[7, [10, 9, 8, 1, 4], 40]
[7, [5, 6, 2, 8, 4], 160]
[3, [1, 7, 5, 10, 9], 40]
[3, [2, 8, 7, 5, 1], 80]
[10, [8, 7, 6, 2, 9], 40]
[11, [9, 1, 3, 5, 10], 160]
[2, [3, 8, 5, 4, 1], 80]
[6, [2, 7, 4, 8, 3], 160]
[5, [4, 9, 6, 1, 10], 40]
[5, [9, 2, 7, 6, 8], 160]
[7, [4, 6, 10, 2, 5], 160]
[1, [5, 8, 9, 2, 4], 160]
[8, [2, 3, 6, 7, 9], 40]
[8, [9, 1, 4, 10, 3], 120]
[3, [1, 10, 2, 8, 9], 120]
[9, [8, 3, 7, 5, 6], 120]
[10, [7, 1, 9, 3, 2], 40]
[1, [2, 10, 4, 6, 7], 80]
[2, [5, 3, 8, 9, 4], 160]
[6, [7, 8, 10, 9, 3], 160]
[4, [5, 2, 8, 7, 1], 40]
[8, [3, 4, 5, 7, 9], 40]
[4, [2, 8, 7, 6, 3], 80]
[8, [3, 10, 1, 9, 4], 160]
[2, [7, 4, 8, 1, 5], 40]
[3, [4, 5, 9, 6, 7], 80]
[7, [1, 10, 5, 6, 9], 160]
[5, [1, 7, 8, 9, 3], 80]
[6, [1, 4, 10, 5, 3], 80]
[10, [6, 1, 3, 7, 8], 40]
[9, [3, 8, 5, 4, 10], 160]
[5, [6, 8, 3, 2, 7], 160]
[7, [4, 6, 3, 8, 2], 40]
[10, [5, 8, 7, 4, 9], 80]
[10, [7, 2, 6, 4, 8], 160]
[3, [6, 10, 7, 1, 2], 80]
[9, [10, 1, 4, 6, 5], 120]
[9, [1, 7, 3, 10, 6], 160]
[8, [6, 9, 10, 1, 3], 40]
[8, [10, 5, 6, 4, 1], 40]
[10, [9, 5, 3, 4, 7], 40]
[10, [1, 3, 5, 7, 8], 120]
[1, [10, 9, 3, 2, 4], 40]
[2, [1, 6, 7, 10, 4], 40]
[5, [8, 1, 4, 2, 9], 80]
[9, [10, 2, 6, 1, 3], 40]
[7, [8, 2, 10, 1, 9], 120]
[4, [7, 5, 9, 3, 6], 120]
[8, [1, 7, 9, 2, 5], 120]
[3, [9, 10, 5, 8, 1], 40]
[11, [1, 4, 9, 3, 8], 80]
[2, [3, 8, 1, 7, 9], 40]
[3, [9, 8, 5, 2, 7], 120]
[3, [2, 1, 7, 4, 6], 40]
[10, [5, 1, 2, 7, 4], 160]
[10, [4, 3, 6, 9, 7], 160]
[5, [9, 10, 8, 4, 1], 120]
[5, [8, 9, 7, 3, 2], 160]
[11, [5, 3, 10, 1, 9], 80]
[6, [4, 2, 10, 9, 5], 80]
[5, [2, 3, 7, 1, 6], 80]
[11, [7, 5, 4, 8, 6], 160]
[5, [8, 10, 9, 6, 3], 80]
[10, [7, 6, 5, 8, 1], 120]
[8, [1, 2, 7, 3, 6], 80]
