[9, [7, 10, 1, 8, 5], 40]
[11, [8, 9, 3, 1, 2], 40]
[6, [7, 8, 9, 5, 1], 40]
[8, [1, 3, 2, 4, 7], 40]
[7, [6, 2, 1, 5, 4], 40]
[6, [3, 9, 4, 10, 5], 40]
[8, [2, 6, 4, 5, 9], 40]
[11, [4, 10, 2, 9, 6], 40]
[4, [1, 9, 2, 3, 10], 40]
[9, [3, 2, 5, 10, 1], 40]
[5, [2, 8, 10, 3, 1], 40]
[9, [5, 4, 7, 6, 3], 40]
[3, [2, 7, 1, 8, 6], 40]
[8, [3, 6, 5, 7, 9], 40]
[6, [7, 1, 9, 5, 10], 40]
[11, [6, 9, 10, 7, 2], 40]
[4, [1, 7, 10, 3, 9], 40]
[8, [7, 10, 1, 5, 6], 40]
[6, [5, 7, 9, 4, 8], 40]
[1, [8, 2, 10, 9, 4], 40]
[5, [9, 10, 1, 6, 4], 40]
[7, [5, 4, 10, 6, 1], 40]
[8, [2, 1, 9, 6, 10], 40]
[10, [8, 5, 2, 6, 4], 40]
[9, [4, 10, 2, 3, 1], 40]
[7, [9, 10, 4, 5, 1], 40]
[6, [1, 9, 5, 7, 10], 40]
[1, [2, 8, 4, 5, 10], 40]
[2, [7, 6, 5, 3, 1], 40]
[1, [10, 5, 8, 6, 7], 40]
[4, [9, 7, 2, 6, 3], 40]
[3, [8, 6, 7, 5, 9], 40]
[8, [5, 1, 10, 7, 6], 40]
[5, [9, 8, 2, 1, 6], 40]
[3, [10, 8, 1, 6, 2], 40]
[10, [1, 8, 7, 6, 2], 40]
[10, [1, 2, 8, 4, 7], 40]
[11, [6, 1, 3, 4, 5], 40]
[6, [3, 8, 2, 9, 5], 40]
[10, [7, 8, 5, 2, 3], 40]
[7, [10, 4, 5, 8, 6], 40]
[8, [1, 3, 7, 9, 2], 40]
[8, [10, 3, 6, 7, 9], 40]
[1, [8, 3, 5, 2, 6], 40]
[1, [9, 3, 5, 8, 2], 40]
[5, [3, 1, 2, 10, 6], 40]
[3, [5, 1, 8, 2, 9], 40]
[11, [7, 5, 2, 3, 8], 40]
[8, [3, 1, 5, 2, 4], 40]
[10, [9, 1, 7, 2, 8], 40]
[2, [10, 3, 7, 8, 6], 40]
[5, [8, 9, 7, 2, 10], 40]
[5, [8, 7, 1, 4, 6], 40]
[10, [4, 9, 7, 2, 8], 40]
[7, [1, 2, 8, 6, 9], 40]
[1, [10, 4, 3, 8, 7], 40]
[2, [10, 1, 9, 5, 4], 40]
[2, [1, 3, 4, 8, 7], 40]
[11, [8, 7, 2, 9, 10], 40]
[6, [1, 10, 7, 3, 2], 40]
[6, [10, 7, 8, 4, 5], 40]
[11, [9, 4, 1, 7, 8], 40]
[4, [2, 1, 5, 9, 8], 40]
[9, [8, 1, 4, 2, 10], 40]
[4, [1, 10, 5, 3, 8], 40]
[11, [6, 7, 1, 2, 5], 40]
[7, [9, 8, 5, 10, 2], 40]
[3, [1, 9, 2, 8, 10], 40]
[5, [7, 1, 2, 10, 4], 40]
[11, [4, 5, 7, 9, 2], 40]
[4, [9, 2, 7, 10, 6], 40]
[2, [10, 8, 5, 6, 1], 40]
[9, [6, 7, 8, 1, 5], 40]
[9, [6, 3, 8, 7, 5], 40]
[2, [3, 6, 7, 9, 5], 40]
[1, [8, 7, 4, 9, 10], 40]
[1, [9, 3, 6, 2, 8], 40]
[5, [6, 8, 4, 7, 2], 40]
[9, [2, 1, 6, 8, 5], 40]
[5, [9, 6, 10, 7, 8], 40]
[4, [2, 3, 8, 6, 9], 40]
[8, [1, 4, 7, 6, 9], 40]
[9, [6, 8, 3, 4, 10], 40]
[3, [2, 4, 5, 8, 6], 40]
[2, [6, 5, 7, 1, 4], 40]
[9, [7, 1, 5, 8, 2], 40]
[11, [1, 6, 9, 10, 8], 40]
[9, [5, 10, 4, 7, 1], 40]
[7, [1, 3, 2, 10, 4], 40]
[2, [10, 6, 9, 7, 3], 40]
[3, [6, 1, 2, 7, 9], 40]
[5, [6, 10, 1, 7, 3], 40]
[9, [4, 6, 7, 1, 10], 40]
[10, [8, 3, 6, 1, 2], 40]
[9, [10, 3, 2, 4, 5], 40]
[6, [7, 10, 9, 3, 1], 40]
[5, [9, 4, 8, 7, 3], 40]
[9, [7, 10, 8, 4, 1], 40]
[10, [5, 4, 3, 6, 7], 40]
[10, [1, 5, 4, 6, 7], 40]
[1, [8, 3, 9, 6, 7], 40]
[8, [3, 2, 1, 4, 7], 40]
[3, [4, 5, 8, 10, 2], 40]
[2, [7, 8, 5, 10, 4], 40]
[6, [10, 2, 1, 5, 8], 40]
[3, [1, 8, 4, 2, 7], 40]
[8, [3, 9, 10, 6, 2], 40]
[3, [7, 10, 8, 6, 1], 40]
[10, [8, 1, 2, 4, 6], 40]
[9, [4, 1, 2, 8, 5], 40]
[5, [1, 6, 10, 7, 8], 40]
[7, [5, 4, 3, 10, 1], 40]
[5, [1, 7, 8, 6, 2], 40]
[3, [7, 1, 2, 5, 6], 40]
[3, [2, 10, 7, 8, 6], 40]
[8, [7, 1, 6, 5, 2], 40]
[6, [8, 7, 3, 2, 5], 40]
