[8, [6, 1, 2, 5, 7], 80]
[2, [10, 9, 5, 7, 4], 80]
[6, [3, 4, 9, 5, 2], 80]
[5, [1, 6, 8, 3, 4], 80]
[1, [6, 8, 5, 7, 4], 80]
[6, [4, 3, 7, 5, 2], 80]
[1, [9, 3, 5, 2, 8], 80]
[10, [8, 5, 3, 1, 7], 80]
[3, [10, 6, 1, 5, 9], 80]
[7, [3, 5, 4, 1, 9], 80]
[10, [8, 1, 2, 5, 3], 80]
[3, [9, 8, 6, 2, 10], 80]
[8, [6, 10, 4, 9, 7], 80]
[8, [3, 1, 5, 9, 2], 80]
[5, [3, 9, 7, 8, 10], 80]
[6, [5, 7, 8, 3, 2], 80]
[10, [3, 7, 8, 4, 6], 80]
[8, [3, 7, 10, 6, 2], 80]
[1, [2, 9, 8, 6, 7], 80]
[2, [10, 7, 3, 6, 8], 80]
[3, [9, 2, 6, 10, 7], 80]
[11, [10, 9, 1, 3, 8], 80]
[6, [5, 3, 8, 9, 1], 80]
[5, [1, 3, 2, 4, 7], 80]
[2, [3, 8, 5, 4, 1], 80]
[2, [3, 6, 10, 1, 9], 80]
[10, [3, 8, 6, 9, 7], 80]
[2, [1, 3, 4, 10, 5], 80]
[8, [6, 3, 7, 9, 10], 80]
[9, [6, 1, 2, 8, 5], 80]
[8, [6, 2, 10, 9, 7], 80]
[4, [9, 5, 2, 3, 7], 80]
[2, [1, 6, 4, 3, 10], 80]
[3, [6, 9, 5, 8, 7], 80]
[7, [4, 6, 9, 2, 5], 80]
[2, [1, 4, 6, 5, 7], 80]
[11, [9, 3, 4, 8, 2], 80]
[9, [10, 8, 7, 5, 6], 80]
[9, [7, 5, 6, 10, 4], 80]
[6, [7, 4, 10, 3, 8], 80]
[6, [8, 7, 10, 1, 2], 80]
[5, [3, 8, 9, 1, 6], 80]
[6, [2, 3, 8, 1, 10], 80]
[10, [3, 2, 7, 1, 8], 80]
[4, [8, 9, 1, 6, 2], 80]
[10, [7, 8, 9, 4, 5], 80]
[11, [3, 9, 1, 4, 8], 80]
[8, [6, 9, 2, 5, 1], 80]
[3, [2, 1, 10, 8, 7], 80]
[4, [8, 10, 9, 5, 7], 80]
[6, [8, 1, 7, 10, 3], 80]
[10, [8, 9, 3, 1, 2], 80]
[4, [3, 10, 6, 1, 5], 80]
[8, [7, 1, 10, 4, 6], 80]
[1, [3, 10, 6, 8, 2], 80]
[11, [5, 9, 3, 10, 8], 80]
[8, [9, 7, 6, 10, 2], 80]
[2, [6, 5, 1, 9, 10], 80]
[10, [6, 1, 8, 7, 3], 80]
[9, [5, 8, 1, 10, 4], 80]
[5, [2, 3, 10, 8, 6], 80]
[5, [6, 4, 2, 9, 3], 80]
[3, [9, 8, 2, 7, 10], 80]
[8, [5, 1, 10, 4, 3], 80]
[10, [8, 5, 7, 9, 1], 80]
[5, [3, 7, 1, 9, 4], 80]
[5, [8, 10, 9, 1, 2], 80]
[4, [8, 9, 2, 7, 10], 80]
[8, [3, 9, 10, 6, 4], 80]
[1, [7, 3, 8, 6, 10], 80]
[1, [7, 2, 5, 9, 10], 80]
[7, [5, 10, 4, 2, 9], 80]
[1, [7, 6, 8, 9, 5], 80]
[8, [9, 10, 6, 1, 3], 80]
[7, [5, 4, 2, 10, 8], 80]
[4, [6, 1, 7, 9, 5], 80]
[11, [3, 6, 8, 1, 5], 80]
[1, [10, 7, 8, 9, 5], 80]
[6, [9, 10, 2, 1, 3], 80]
[8, [4, 10, 9, 3, 7], 80]
[11, [8, 4, 1, 9, 6], 80]
[2, [3, 8, 9, 6, 4], 80]
[8, [7, 5, 1, 3, 4], 80]
[3, [4, 2, 9, 5, 8], 80]
[8, [2, 10, 9, 5, 1], 80]
[11, [8, 5, 10, 2, 3], 80]
[8, [4, 6, 3, 2, 1], 80]
