[1, [2, 5, 10, 6, 8], 120]
[9, [6, 2, 10, 7, 5], 120]
[11, [5, 1, 10, 3, 2], 120]
[5, [7, 2, 3, 4, 6], 120]
[1, [10, 8, 4, 3, 7], 120]
[10, [8, 5, 6, 2, 1], 120]
[6, [4, 5, 7, 3, 8], 120]
[3, [2, 4, 5, 8, 10], 120]
[1, [5, 10, 6, 9, 7], 120]
[6, [8, 10, 7, 2, 5], 120]
[7, [1, 6, 5, 8, 4], 120]
[7, [4, 3, 6, 9, 8], 120]
[7, [6, 2, 8, 3, 1], 120]
[11, [10, 1, 9, 4, 7], 120]
[1, [2, 5, 4, 6, 10], 120]
[6, [3, 8, 2, 1, 5], 120]
[1, [2, 5, 3, 6, 7], 120]
[6, [3, 8, 2, 9, 1], 120]
[11, [7, 10, 8, 2, 1], 120]
[10, [6, 1, 4, 3, 2], 120]
[4, [3, 2, 10, 5, 6], 120]
[9, [5, 6, 4, 1, 10], 120]
[2, [8, 10, 7, 4, 3], 120]
[11, [9, 1, 10, 5, 3], 120]
[10, [1, 4, 6, 9, 2], 120]
[10, [8, 4, 1, 7, 9], 120]
[11, [8, 10, 9, 1, 4], 120]
[3, [8, 9, 5, 4, 2], 120]
[9, [7, 6, 5, 2, 3], 120]
[4, [6, 7, 8, 1, 9], 120]
[3, [8, 6, 2, 1, 7], 120]
[7, [8, 4, 6, 1, 9], 120]
[1, [4, 7, 10, 9, 6], 120]
[1, [10, 4, 6, 7, 8], 120]
[9, [4, 2, 3, 6, 10], 120]
[9, [6, 7, 4, 5, 10], 120]
[4, [1, 10, 5, 6, 2], 120]
[10, [9, 6, 4, 8, 1], 120]
[1, [4, 6, 7, 9, 3], 120]
[9, [8, 6, 10, 1, 3], 120]
[11, [4, 8, 1, 3, 10], 120]
[11, [6, 9, 3, 4, 8], 120]
[6, [7, 10, 8, 3, 9], 120]
[9, [6, 4, 7, 1, 2], 120]
[9, [8, 6, 7, 1, 3], 120]
[8, [4, 1, 6, 5, 2], 120]
[5, [7, 6, 8, 3, 1], 120]
[2, [7, 3, 5, 10, 4], 120]
[5, [1, 10, 6, 8, 3], 120]
[7, [1, 10, 8, 5, 3], 120]
[3, [8, 1, 4, 9, 7], 120]
[8, [6, 10, 5, 3, 7], 120]
[9, [10, 1, 5, 6, 2], 120]
[10, [5, 7, 6, 2, 8], 120]
[9, [8, 3, 7, 6, 5], 120]
[3, [8, 2, 10, 7, 5], 120]
