[3, [11, 9, 10, 12, 4], 80]
[1, [6, 8, 9, 10, 3], 80]
[11, [7, 2, 10, 4, 5], 80]
[3, [4, 8, 13, 6, 2], 80]
[5, [9, 6, 13, 8, 12], 80]
[6, [3, 12, 2, 10, 13], 80]
[2, [10, 9, 5, 4, 12], 80]
[3, [4, 5, 12, 6, 10], 80]
[9, [7, 13, 10, 12, 5], 80]
[7, [11, 12, 6, 10, 9], 80]
[10, [1, 7, 4, 3, 2], 80]
[9, [2, 1, 3, 13, 11], 80]
[14, [1, 9, 5, 3, 8], 80]
[1, [5, 12, 4, 3, 13], 80]
[1, [4, 13, 2, 3, 8], 80]
[5, [9, 7, 3, 2, 10], 80]
[2, [11, 8, 5, 6, 13], 80]
[11, [5, 1, 6, 12, 13], 80]
[11, [13, 8, 9, 3, 12], 80]
[9, [2, 5, 12, 11, 3], 80]
[4, [3, 7, 12, 5, 9], 80]
[8, [9, 6, 4, 7, 1], 80]
[6, [11, 12, 10, 8, 7], 80]
[14, [1, 8, 6, 5, 3], 80]
[4, [11, 7, 13, 5, 2], 80]
[14, [2, 3, 7, 8, 10], 80]
[14, [4, 2, 5, 8, 13], 80]
[13, [1, 10, 3, 4, 2], 80]
[14, [4, 6, 8, 2, 12], 80]
[7, [9, 4, 10, 13, 11], 80]
[7, [2, 3, 12, 9, 1], 80]
[2, [6, 4, 11, 9, 13], 80]
[1, [5, 6, 3, 10, 8], 80]
[10, [11, 13, 8, 3, 9], 80]
[2, [4, 8, 7, 5, 13], 80]
[8, [10, 12, 9, 13, 5], 80]
[5, [8, 1, 11, 7, 2], 80]
[7, [5, 11, 1, 3, 9], 80]
[13, [9, 11, 5, 1, 3], 80]
[12, [8, 7, 5, 13, 4], 80]
[5, [9, 10, 3, 11, 2], 80]
[7, [2, 5, 3, 9, 4], 80]
[8, [11, 9, 10, 1, 12], 80]
[10, [3, 4, 8, 2, 12], 80]
[4, [11, 8, 9, 13, 6], 80]
[13, [10, 2, 1, 4, 9], 80]
[10, [13, 2, 1, 4, 9], 80]
[2, [11, 6, 10, 9, 12], 80]
