[23, [12, 6, 13, 17, 7], 120]
[23, [18, 7, 8, 10, 2], 120]
[1, [19, 14, 13, 12, 7], 120]
[3, [18, 21, 13, 15, 12], 120]
[22, [2, 5, 17, 19, 7], 120]
[21, [11, 14, 1, 20, 2], 120]
[21, [13, 18, 5, 1, 10], 120]
[17, [23, 6, 13, 15, 4], 120]
[22, [13, 12, 19, 5, 6], 120]
[22, [20, 9, 5, 12, 7], 120]
[20, [17, 11, 9, 12, 19], 120]
[8, [18, 6, 20, 4, 15], 120]
[7, [2, 4, 18, 13, 8], 120]
[22, [23, 2, 15, 13, 11], 120]
[18, [2, 14, 10, 13, 23], 120]
[13, [19, 7, 8, 17, 18], 120]
[9, [5, 16, 10, 23, 21], 120]
[6, [19, 11, 8, 15, 21], 120]
[6, [19, 18, 11, 14, 17], 120]
[16, [10, 23, 14, 4, 12], 120]
[5, [12, 9, 10, 16, 7], 120]
[7, [1, 17, 13, 19, 5], 120]
[16, [15, 7, 18, 12, 22], 120]
[12, [3, 14, 10, 6, 15], 120]
[12, [20, 6, 2, 9, 11], 120]
[19, [11, 14, 6, 23, 15], 120]
[21, [11, 19, 6, 5, 10], 120]
[8, [11, 9, 7, 12, 19], 120]
[2, [18, 17, 20, 15, 14], 120]
[14, [19, 15, 21, 16, 6], 120]
[12, [9, 7, 23, 20, 18], 120]
[12, [15, 19, 3, 6, 16], 120]
[7, [6, 1, 12, 23, 22], 120]
[16, [8, 11, 4, 19, 13], 120]
[3, [11, 6, 21, 9, 18], 120]
[4, [16, 13, 12, 8, 22], 120]
[4, [8, 23, 18, 1, 11], 120]
[5, [14, 20, 2, 7, 22], 120]
[20, [10, 13, 5, 22, 8], 120]
[2, [10, 9, 8, 6, 4], 120]
[20, [14, 11, 12, 6, 13], 120]
[18, [10, 3, 20, 16, 1], 120]
[12, [9, 18, 23, 8, 5], 120]
[17, [12, 4, 19, 7, 3], 120]
[13, [2, 22, 12, 16, 18], 120]
[14, [1, 19, 16, 12, 23], 120]
[9, [11, 15, 19, 6, 17], 120]
[5, [22, 15, 3, 23, 7], 120]
[13, [15, 1, 10, 17, 7], 120]
[24, [11, 12, 19, 7, 17], 120]
[18, [15, 5, 3, 8, 4], 120]
[1, [20, 5, 22, 12, 8], 120]
[13, [21, 5, 8, 23, 9], 120]
[2, [8, 16, 11, 1, 6], 120]
[2, [3, 21, 14, 17, 22], 120]
[22, [19, 4, 13, 3, 1], 120]
[11, [1, 23, 5, 20, 15], 120]
[19, [21, 16, 7, 4, 22], 120]
[24, [15, 2, 22, 11, 12], 120]
[19, [20, 13, 18, 10, 5], 120]
[3, [12, 19, 9, 23, 8], 120]
[22, [18, 6, 1, 9, 8], 120]
[24, [18, 14, 6, 11, 21], 120]
