[9, [11, 22, 7, 10, 15], 40]
[10, [15, 17, 12, 21, 11], 40]
[1, [16, 14, 5, 3, 23], 40]
[11, [5, 20, 9, 18, 6], 40]
[16, [2, 18, 4, 15, 5], 40]
[13, [11, 8, 18, 16, 17], 40]
[13, [1, 9, 14, 23, 11], 40]
[15, [5, 8, 2, 14, 11], 40]
[14, [23, 1, 13, 2, 22], 40]
[18, [1, 10, 2, 8, 21], 40]
[7, [15, 23, 9, 3, 21], 40]
[21, [11, 14, 13, 15, 17], 40]
[24, [17, 16, 9, 14, 12], 40]
[14, [3, 23, 15, 13, 10], 40]
[17, [12, 3, 13, 6, 16], 40]
[2, [18, 4, 22, 6, 21], 40]
[3, [7, 1, 15, 10, 14], 40]
[1, [20, 5, 13, 8, 3], 40]
[9, [10, 6, 23, 21, 16], 40]
[15, [16, 11, 9, 6, 5], 40]
[20, [21, 4, 1, 11, 14], 40]
[21, [9, 2, 18, 23, 8], 40]
[8, [16, 3, 20, 19, 6], 40]
[21, [3, 14, 8, 1, 2], 40]
[19, [22, 17, 4, 16, 21], 40]
[8, [19, 14, 6, 4, 2], 40]
[15, [23, 4, 20, 9, 5], 40]
[16, [7, 11, 14, 20, 13], 40]
[15, [9, 2, 16, 4, 12], 40]
[11, [2, 3, 9, 1, 20], 40]
[21, [3, 10, 15, 16, 23], 40]
[15, [11, 19, 18, 6, 5], 40]
[7, [20, 5, 13, 19, 14], 40]
[12, [3, 14, 4, 8, 17], 40]
[5, [23, 11, 7, 3, 1], 40]
[16, [22, 1, 23, 8, 19], 40]
[18, [16, 7, 2, 1, 17], 40]
[2, [21, 17, 6, 7, 4], 40]
[7, [10, 4, 11, 2, 18], 40]
[7, [15, 16, 5, 11, 2], 40]
[1, [21, 19, 2, 11, 20], 40]
[3, [14, 12, 16, 19, 13], 40]
[16, [8, 4, 3, 10, 5], 40]
[5, [20, 9, 16, 15, 21], 40]
[5, [15, 12, 22, 4, 17], 40]
[6, [12, 2, 3, 21, 13], 40]
[14, [12, 2, 15, 13, 6], 40]
[6, [15, 17, 21, 20, 14], 40]
