[9, [11, 17, 23, 20, 2], 80]
[3, [8, 11, 4, 2, 16], 40]
[8, [22, 3, 4, 18, 15], 40]
[3, [21, 22, 14, 10, 2], 120]
[6, [22, 9, 17, 7, 14], 80]
[12, [14, 5, 17, 8, 3], 160]
[19, [9, 2, 16, 10, 23], 40]
[4, [14, 1, 5, 10, 16], 120]
[4, [20, 8, 16, 22, 3], 40]
[19, [15, 13, 12, 21, 7], 160]
[3, [12, 23, 5, 6, 21], 160]
[21, [23, 10, 1, 22, 12], 160]
[10, [18, 20, 11, 7, 21], 160]
[9, [11, 6, 10, 23, 7], 160]
[4, [11, 22, 5, 2, 14], 40]
[6, [1, 19, 7, 8, 23], 40]
[14, [12, 13, 4, 15, 17], 40]
[24, [19, 13, 11, 4, 2], 80]
[2, [6, 15, 10, 17, 18], 80]
[14, [4, 11, 6, 8, 10], 160]
[20, [7, 4, 3, 22, 21], 80]
[15, [20, 5, 1, 21, 2], 120]
[18, [16, 4, 22, 20, 19], 120]
[4, [5, 16, 8, 11, 7], 120]
[1, [12, 8, 5, 7, 23], 40]
[14, [4, 18, 12, 21, 2], 160]
[22, [23, 21, 4, 16, 13], 160]
[15, [10, 17, 9, 19, 11], 120]
[9, [20, 5, 21, 7, 11], 40]
[3, [12, 4, 16, 5, 18], 40]
[9, [22, 5, 13, 20, 18], 80]
[2, [7, 18, 16, 20, 5], 80]
[16, [9, 11, 20, 2, 10], 120]
[23, [2, 8, 18, 16, 6], 120]
[7, [17, 4, 6, 9, 12], 80]
[16, [2, 13, 14, 21, 9], 40]
[22, [20, 16, 14, 12, 1], 80]
[12, [3, 20, 2, 13, 10], 120]
[12, [17, 20, 2, 19, 16], 40]
[20, [17, 19, 2, 3, 15], 160]
[3, [9, 5, 7, 8, 15], 120]
[3, [4, 18, 20, 1, 5], 80]
[13, [14, 1, 6, 15, 4], 160]
[16, [7, 17, 2, 11, 13], 160]
[19, [22, 2, 5, 11, 13], 80]
[18, [20, 10, 17, 6, 23], 80]
[18, [15, 5, 2, 22, 17], 120]
[12, [21, 8, 22, 18, 10], 120]
[20, [19, 12, 6, 21, 3], 80]
[8, [3, 22, 2, 12, 18], 160]
[18, [8, 14, 4, 16, 21], 40]
[13, [4, 23, 7, 10, 12], 80]
[6, [9, 7, 17, 23, 15], 160]
[4, [5, 17, 11, 20, 18], 80]
[16, [6, 14, 17, 22, 2], 80]
[24, [2, 10, 6, 4, 7], 40]
[2, [12, 21, 19, 6, 16], 40]
[12, [4, 16, 22, 19, 2], 40]
[9, [18, 15, 21, 23, 5], 40]
[14, [21, 2, 10, 11, 5], 40]
[6, [22, 9, 19, 11, 16], 160]
[22, [5, 21, 4, 15, 23], 80]
[13, [1, 23, 17, 14, 20], 120]
[19, [13, 12, 1, 14, 8], 120]
[2, [23, 14, 18, 12, 21], 80]
[4, [23, 1, 18, 3, 7], 40]
[13, [22, 5, 18, 21, 9], 40]
[8, [23, 6, 17, 20, 1], 120]
[21, [18, 14, 10, 6, 19], 40]
[21, [18, 10, 19, 5, 7], 80]
[24, [19, 21, 13, 3, 5], 160]
[19, [22, 6, 17, 9, 23], 160]
[12, [8, 7, 5, 1, 2], 160]
[12, [22, 3, 16, 21, 11], 40]
[14, [19, 16, 2, 22, 10], 160]
[18, [21, 13, 4, 8, 15], 160]
[24, [7, 17, 22, 2, 21], 160]
[4, [13, 2, 9, 11, 3], 160]
[16, [15, 11, 10, 19, 23], 160]
[2, [18, 3, 19, 6, 23], 40]
[1, [8, 13, 2, 7, 21], 40]
[6, [13, 9, 1, 20, 7], 160]
[6, [4, 11, 15, 12, 7], 40]
[1, [2, 3, 5, 20, 6], 160]
[24, [19, 2, 17, 20, 13], 160]
[16, [10, 21, 1, 7, 3], 80]
[14, [17, 16, 22, 8, 6], 80]
[10, [12, 8, 21, 20, 23], 160]
[18, [17, 2, 3, 12, 5], 120]
[13, [14, 17, 9, 5, 8], 40]
[13, [14, 23, 11, 17, 15], 160]
[18, [15, 7, 20, 12, 13], 40]
[14, [5, 17, 20, 10, 3], 120]
[9, [22, 20, 6, 4, 8], 120]
[20, [8, 22, 17, 4, 1], 160]
