[22, [14, 4, 5, 9, 21], 160]
[21, [20, 13, 11, 15, 16], 80]
[10, [3, 9, 17, 15, 12], 160]
[24, [11, 4, 14, 7, 2], 80]
[20, [2, 22, 5, 24, 10], 120]
[2, [18, 19, 24, 11, 15], 40]
[17, [19, 20, 15, 21, 8], 80]
[3, [10, 15, 12, 20, 22], 80]
[2, [11, 13, 21, 14, 20], 160]
[19, [13, 7, 12, 21, 8], 40]
[24, [1, 9, 6, 11, 10], 80]
[11, [20, 17, 13, 24, 12], 80]
[22, [6, 11, 7, 17, 16], 120]
[7, [16, 17, 20, 2, 9], 80]
[15, [18, 23, 12, 8, 21], 40]
[14, [4, 18, 6, 7, 17], 40]
[6, [15, 5, 9, 20, 7], 120]
[24, [11, 16, 4, 2, 19], 120]
[2, [14, 15, 6, 17, 18], 40]
[11, [16, 23, 4, 18, 15], 80]
[16, [15, 24, 8, 1, 9], 80]
[8, [7, 18, 21, 9, 15], 80]
[11, [23, 1, 19, 20, 6], 40]
[10, [21, 2, 3, 22, 19], 120]
[4, [8, 3, 20, 5, 18], 80]
[10, [24, 12, 2, 14, 17], 160]
[15, [10, 18, 1, 2, 22], 80]
[12, [2, 16, 23, 20, 5], 40]
[2, [21, 23, 11, 7, 17], 40]
[24, [5, 3, 4, 1, 12], 120]
[8, [21, 5, 22, 4, 24], 120]
[4, [8, 12, 2, 7, 18], 160]
[17, [1, 4, 5, 16, 22], 80]
[7, [16, 19, 17, 9, 4], 160]
[5, [4, 11, 14, 24, 20], 160]
[12, [14, 13, 17, 7, 16], 80]
[4, [13, 24, 16, 21, 19], 40]
[16, [13, 4, 19, 21, 24], 40]
[12, [1, 20, 6, 22, 21], 120]
[9, [14, 10, 8, 23, 7], 40]
[12, [18, 9, 19, 8, 21], 40]
[11, [1, 14, 22, 6, 10], 160]
[22, [5, 9, 2, 20, 7], 120]
[3, [22, 16, 13, 15, 4], 160]
[16, [5, 13, 2, 24, 21], 120]
[24, [1, 3, 11, 21, 23], 80]
[8, [15, 21, 20, 12, 10], 40]
[14, [18, 8, 9, 7, 16], 160]
[13, [20, 22, 19, 18, 1], 160]
[14, [3, 24, 21, 11, 8], 80]
[15, [5, 8, 14, 19, 22], 120]
[7, [11, 17, 23, 2, 19], 80]
[12, [20, 6, 4, 8, 15], 120]
[4, [5, 6, 2, 8, 14], 160]
[4, [9, 23, 5, 14, 3], 40]
[12, [2, 21, 23, 15, 19], 120]
[12, [20, 17, 8, 22, 14], 40]
[11, [16, 4, 2, 19, 5], 40]
[24, [22, 17, 8, 2, 4], 80]
[4, [13, 7, 10, 2, 9], 160]
[6, [18, 17, 7, 24, 9], 80]
[23, [9, 3, 24, 18, 4], 40]
[13, [15, 9, 1, 16, 6], 120]
[12, [22, 6, 2, 24, 19], 120]
[5, [18, 7, 13, 10, 16], 160]
[9, [22, 3, 23, 4, 8], 120]
[6, [16, 19, 15, 14, 21], 120]
[7, [21, 2, 12, 17, 10], 160]
[8, [19, 24, 16, 12, 5], 120]
[6, [5, 16, 19, 24, 10], 120]
[5, [14, 9, 23, 10, 21], 160]
[24, [5, 22, 21, 2, 16], 160]
[2, [12, 7, 1, 8, 22], 40]
[4, [17, 2, 1, 24, 12], 160]
[7, [23, 21, 3, 16, 22], 40]
[6, [2, 17, 24, 15, 23], 80]
[24, [13, 3, 19, 18, 9], 120]
[13, [9, 18, 23, 12, 14], 120]
[8, [21, 22, 11, 10, 2], 120]
[7, [11, 12, 19, 18, 17], 120]
[24, [4, 7, 21, 17, 1], 40]
[23, [18, 4, 9, 5, 10], 40]
[21, [12, 13, 4, 7, 17], 40]
[23, [2, 8, 21, 1, 16], 80]
[13, [11, 4, 17, 15, 22], 40]
[4, [20, 19, 18, 5, 7], 160]
[7, [5, 19, 24, 23, 17], 160]
[8, [3, 13, 20, 19, 18], 40]
[2, [6, 1, 19, 21, 8], 80]
[9, [2, 6, 14, 5, 11], 40]
[7, [3, 12, 24, 18, 10], 40]
[1, [21, 4, 13, 24, 14], 160]
[1, [4, 8, 12, 17, 14], 80]
[6, [17, 10, 14, 15, 3], 120]
[3, [2, 23, 4, 17, 21], 120]
[4, [18, 7, 15, 22, 11], 160]
[8, [24, 22, 17, 9, 19], 80]
[4, [17, 16, 20, 21, 6], 120]
[24, [4, 17, 9, 7, 11], 80]
[23, [8, 24, 7, 16, 1], 40]
